symbol,sector,price,ma20,ma50,ma200,rsi,vol_ratio,cur_vol,vol_ma20,ret_1w,ret_1m,ret_3m,ret_6m,high_18m,low_18m,pos_18m,is_above_ma20,is_above_ma50,is_golden_cross,is_vol_breakout,bounce_from_low,has_fvg,has_displacement,macd_hist,total_score
HAX,Ô tô,9190.0,8911.5,9159.8,10226.2,69.31818181818181,0.03394762366634336,4200,123720.0,2.2246941045606317,12.073170731707329,-7.638190954773871,-16.07305936073059,18200.0,8140.000000000001,10.437375745526829,True,True,False,False,12.899262899262887,True,False,48.37874941938771,63.0
HHP,Tài nguyên cơ bản,15050.0,14612.0,14089.0,12647.2,59.761904761904766,0.2085384196217652,280900,1346994.0,0.33333333333334103,5.0977653631284925,12.481315396113612,15.325670498084287,16430.0,7240.0,84.98367791077258,True,True,True,False,12.062546537602392,True,False,29.716631368360368,63.0
VSC,Hàng & Dịch vụ công nghiệp,15600.0,14447.5,15973.0,20620.0,59.25925925925925,0.46352819072173457,5055600,10906780.0,7.216494845360821,19.999999999999996,-18.961038961038955,-39.29961089494164,38650.0,10830.0,17.14593817397556,True,False,False,False,25.806451612903224,True,True,231.99782313573735,62.0
VTP,Hàng & Dịch vụ công nghiệp,54600.0,51910.0,52388.0,59861.6,67.6829268292683,0.16733507665985112,137900,824095.0,-2.500000000000002,21.875,-2.4651661307609873,-13.415794481446241,108280.0,43400.0,17.26263871763255,True,True,False,False,25.806451612903224,True,False,417.6364197896785,62.0
DIG,Bất động sản,11100.0,10623.0,11518.0,14840.75,58.33333333333333,0.25378881475990445,1972000,7770240.0,4.716981132075482,11.44578313253013,-13.953488372093027,-19.272727272727273,25100.0,9350.0,11.11111111111111,True,False,False,False,18.71657754010696,True,False,97.71241726916043,59.0
SHB,Ngân hàng,12050.0,11722.5,12542.0,14579.1,58.62068965517242,0.31605119368078066,15762900,49874515.0,3.87931034482758,5.701754385964919,-11.397058823529417,-19.827012641383902,19170.0,7610.0,38.4083044982699,True,False,False,False,8.558558558558559,True,False,81.51333248053737,59.0
VRE,Bất động sản,25400.0,24710.0,25751.6,28597.3,41.37931034482759,0.21729684972492178,1272800,5857425.0,4.098360655737698,19.2488262910798,-15.16366065464262,-2.60736196319018,43650.0,15550.0,35.05338078291815,True,False,False,False,21.53110047846889,True,False,142.42424920427635,58.0
CII,Xây dựng & Vật liệu,14700.0,13975.0,15386.0,18726.25,60.273972602739725,0.3374345511629148,2781500,8243080.0,2.4390243902439046,13.076923076923075,-11.178247734138969,-9.259259259259256,31350.0,9020.0,25.436632333184058,True,False,False,False,20.98765432098766,True,False,191.57020812152734,58.0
PNJ,Hàng cá nhân & Gia dụng,42650.0,35615.0,46045.0,63078.45,72.22222222222221,0.0668643002374707,430800,6442900.0,21.6833095577746,30.627871362940272,-34.38461538461538,-44.85389190587018,84670.0,30250.0,22.785740536567438,True,False,False,False,40.99173553719009,True,False,1536.7840540170255,58.0
KDH,Bất động sản,18150.0,17755.0,19429.0,25890.75,52.112676056338024,0.3823319400630083,1812500,4740645.0,2.5423728813559254,7.079646017699126,-20.915032679738566,-32.14953271028037,38100.0,16200.0,8.904109589041095,True,False,False,False,12.037037037037045,True,False,146.65205405072732,57.0
PDR,Bất động sản,12350.0,11930.0,13175.0,16643.75,57.142857142857146,0.24949508228986236,1622600,6503535.0,2.4896265560165887,7.391304347826089,-19.01639344262295,-21.086261980830667,27200.0,10400.0,11.607142857142858,True,False,False,False,18.75,True,False,137.41392830062682,57.0
STB,Ngân hàng,75200.0,73475.0,72498.0,63792.0,55.04587155963303,0.08862234480399389,248700,2806290.0,0.0,3.724137931034477,12.912912912912923,15.870570107858239,76800.0,32400.0,96.3963963963964,True,True,True,False,5.915492957746471,True,False,108.75051310519495,56.0
HSG,Tài nguyên cơ bản,10950.0,10745.0,11154.0,11950.1,53.846153846153854,0.7463048772479793,1307000,1751295.0,3.301886792452824,4.784688995215314,-9.50413223140496,-5.112651646447142,16309.999999999998,9540.0,20.827178729689813,True,False,False,False,12.886597938144329,True,False,45.500520923324245,55.0
HPG,Tài nguyên cơ bản,22000.0,21707.5,22298.0,23667.9,47.368421052631575,0.2940178739470397,6444100,21917375.0,4.761904761904767,4.761904761904767,-7.1729957805907185,-9.576654336210444,27540.0,15850.0,52.609067579127455,True,False,False,False,9.45273631840795,True,False,53.044248112084574,54.0
NLG,Bất động sản,24050.0,22475.0,24112.0,27959.6,77.5,0.12574898567858775,304200,2419105.0,2.3404255319148914,16.747572815533985,-5.907668231611895,-4.259554140127387,44770.0,19150.0,19.12568306010929,True,False,False,False,25.587467362924276,True,False,321.7182867458989,51.0
DCL,Y tế,38500.0,39070.0,38410.0,43181.25,35.08771929824562,0.3208449464573859,273400,852125.0,1.85185185185186,1.182654402102501,1.3157894736842035,-28.835489833641404,62800.0,19000.0,44.52054794520548,False,True,True,False,4.336043360433606,True,False,-132.55757127312884,51.0
VCG,Xây dựng & Vật liệu,16050.0,15730.0,16746.2,18779.15,53.846153846153854,0.2300292301112251,519000,2256235.0,1.5822784810126667,4.56026058631922,-8.54700854700855,-8.285714285714285,25860.0,14130.0,16.36828644501279,True,False,False,False,9.183673469387754,True,False,91.98119661711621,50.0
BCM,Bất động sản,42300.0,39715.0,44825.0,56418.25,63.874345549738216,0.23916194180990732,253300,1059115.0,-0.7042253521126751,18.98734177215189,-20.63789868667918,-28.30508474576271,82280.0,33900.0,17.362546506821,True,False,False,False,24.778761061946895,True,False,644.9252320032194,49.0
ACV,Dịch vụ & Giải trí,41700.0,40420.0,41742.0,47923.0,64.93506493506493,0.33029117774880484,159600,483210.0,1.4598540145985384,7.474226804123707,-3.9170506912442393,-19.186046511627907,78320.0,37000.0,11.374636979670862,True,False,False,False,12.702702702702705,True,False,231.06620391017395,49.0
POW,"Điện, Nước & Khí đốt",13600.0,13567.5,13931.0,13443.05,42.10526315789474,0.29537899934883466,1819000,6158190.0,1.8726591760299671,2.2556390977443552,0.36900369003689537,-10.231023102310232,16850.0,8200.0,62.42774566473989,True,False,False,False,5.4263565891472965,False,False,16.868951423275377,48.0
NKG,Tài nguyên cơ bản,11000.0,10947.5,11384.0,12964.6,48.275862068965516,0.30342271052212794,486200,1602385.0,3.7735849056603765,3.2863849765258246,-11.003236245954696,-17.664670658682635,18550.0,10000.0,11.695906432748536,True,False,False,False,7.317073170731714,True,False,22.88028363258894,47.0
VPL,Dịch vụ & Giải trí,77000.0,77710.0,81578.0,85391.5,27.65957446808511,0.28703094140882157,152600,531650.0,2.6666666666666616,3.3557046979865834,-16.30434782608695,1.9867549668874274,111000.0,67000.0,22.727272727272727,False,False,False,False,6.944444444444442,True,False,133.8445093825967,44.0
HHV,Xây dựng & Vật liệu,10100.0,10062.0,10372.2,11602.7,46.15384615384615,0.22164143918578375,545300,2460280.0,1.0000000000000009,2.746693794506605,-8.597285067873306,-11.636045494313208,16129.999999999998,8610.0,19.813829787234045,True,False,False,False,6.315789473684208,True,False,23.608314772370576,43.0
HAG,Thực phẩm & Đồ uống,14200.0,14087.5,14480.0,16056.0,53.33333333333334,0.15845105543792054,278000,1754485.0,0.35335689045936647,1.4285714285714235,-5.960264900662249,-10.410094637223978,19250.0,9540.0,47.991761071060765,True,False,False,False,5.970149253731338,False,False,43.682110467628206,42.0
GIL,Hàng cá nhân & Gia dụng,7960.0,7729.0,9197.6,12674.9,59.53947368421053,0.13265495293221002,32200,242735.0,-0.5000000000000004,20.060331825037704,-33.666666666666664,-48.311688311688314,21750.0,6410.0,10.104302477183833,True,False,False,False,24.180967238689544,True,False,119.90991652577088,42.0
HVN,Dịch vụ & Giải trí,23150.0,23100.0,23427.0,24623.5,42.50000000000001,0.17729145333746102,148900,839860.0,1.3129102844638973,5.949656750572085,9.715639810426534,-6.464646464646462,38450.0,19300.0,20.10443864229765,True,False,False,False,8.94117647058823,True,False,-38.9524754026587,40.0
VIC,Bất động sản,210000.0,210395.0,214356.0,174705.5,41.99999999999999,0.10912269939930354,523000,4792770.0,5.000000000000004,-1.7773620205799867,2.489019033674955,27.427184466019416,242000.0,19850.0,85.5953184785055,False,False,False,False,7.913669064748197,True,False,-372.01237078077475,36.0
VJC,Dịch vụ & Giải trí,124500.0,124990.0,131570.0,136156.0,39.79591836734694,0.3497070476831526,457200,1307380.0,0.809716599190291,0.8914100486223653,-4.845612962396817,3.4912718204488824,169220.0,59310.0,59.31216449822582,False,False,False,False,5.419136325148188,False,False,267.5265945948436,31.0
LPB,Ngân hàng,49850.0,52132.5,52149.0,45703.0,30.541871921182263,0.26773770873175257,782600,2923010.0,-0.30000000000000027,-6.822429906542061,-2.062868369351667,23.116818967646324,58500.0,25530.0,73.7640279041553,False,False,False,False,2.7835051546391654,True,False,-408.0477191403268,30.0
PC1,Xây dựng & Vật liệu,20700.0,20840.0,21237.0,22842.35,35.18518518518519,0.14999199102995356,234100,1560750.0,1.4705882352941124,-3.2710280373831724,8.947368421052637,-28.620689655172416,32200.000000000004,16000.0,29.01234567901234,False,False,False,False,4.810126582278484,True,False,-15.983190673376043,28.0
NAF,Thực phẩm & Đồ uống,48150.0,48190.0,48644.0,44458.0,35.71428571428571,0.20768431983385255,74000,356310.0,0.10395010395010118,0.31250000000000444,-7.40384615384615,9.307604994324636,53900.0,15410.0,85.06105481943362,False,False,False,False,2.337938363443137,False,False,56.28724517931431,20.0
HUT,Ô tô,13000.0,13705.0,14628.0,15873.5,22.727272727272734,0.20129104974640094,392900,1951900.0,-1.5151515151515138,-12.16216216216216,-16.666666666666664,-18.23899371069182,21100.0,10620.0,22.709923664122137,False,False,False,False,2.3622047244094446,False,False,-35.33002833985046,17.0
